0,5179
10D,8
10C,1539
111,14
105,26
10F,18
10B,20
106,0
107,-5
114,196
20,-34,9,-126
24,1437
0,5728
10D,8
10C,1150
111,18
105,26
10F,18
10B,35
106,0
107,-5
114,182
20,-35,1,-130
24,1439
0,6289
10D,8
10C,1324
111,16
105,27
10F,18
10B,30
106,0
107,-5
114,51
20,-29,5,-126
24,1434
0,6838
10D,8
10C,1379
111,16
105,27
10F,18
10B,27
106,0
107,-5
114,189
20,-36,16,-116
24,1436
0,7387
10D,8
10C,1126
111,17
105,27
10F,18
10B,36
106,0
107,-5
114,47
20,-39,3,-135
24,1432
0,7937
10D,8
10C,1178
111,17
105,27
10F,18
10B,38
106,-1
107,-5
114,194
20,-24,19,-103
24,1438
0,8488
10D,8
10C,1142
111,17
105,27
10F,18
10B,36
106,-1
107,-5
114,198
20,-23,7,-116
24,1430
0,9043
10D,8
10C,1115
111,15
105,27
10F,18
10B,30
106,-1
107,-5
114,196
20,-30,4,-121
24,1442
0,9589
10D,8
10C,1049
111,15
105,27
10F,18
10B,29
106,-3
107,-5
114,185
20,-23,2,-127
24,1432
0,10139
10D,7
10C,1076
111,15
105,27
10F,18
10B,28
106,-3
107,-5
114,172
20,-22,-12,-131
24,1420
0,10689
10D,6
10C,1073
111,15
105,27
10F,18
10B,27
106,-4
107,-5
114,170
20,-33,-5,-130
24,1430
0,11239
10D,4
10C,1072
111,15
105,27
10F,18
10B,27
106,-5
107,-5
114,151
20,-31,1,-129
24,1422
0,11789
10D,3
10C,1062
111,15
105,27
10F,18
10B,26
106,-6
107,-5
114,108
20,-30,-5,-124
24,1429
0,12339
10D,3
10C,1059
111,14
105,27
10F,18
10B,26
106,-6
107,-5
114,26
20,-24,-17,-120
24,1429
0,12889
10D,3
10C,1056
111,14
105,28
10F,18
10B,26
106,-6
107,-5
114,39
20,-36,-1,-119
24,1426
0,13439
10D,2
10C,1058
111,14
105,28
10F,18
10B,25
106,-8
107,-5
114,155
20,-32,-16,-113
24,1430
0,13989
10D,1
10C,1046
111,14
105,28
10F,18
10B,25
106,-8
107,-5
114,100
20,-35,-8,-125
24,1430
0,14539
10D,0
10C,1043
111,14
105,28
10F,18
10B,25
106,-8
107,-5
114,21
20,-35,-9,-124
24,1427
0,15089
10D,0
10C,1038
111,14
105,28
10F,18
10B,26
106,-8
107,-5
114,19
20,-35,-10,-124
24,1432
0,15639
10D,0
10C,1037
111,14
105,28
10F,18
10B,28
106,-8
107,-5
114,14
20,-35,-6,-126
24,1409
0,16189
10D,0
10C,1059
111,18
105,28
10F,18
10B,39
106,-8
107,-5
114,6
20,-35,-6,-123
24,1403
0,16739
10D,1
10C,1003
111,20
105,29
10F,18
10B,46
106,-6
107,-5
114,6
20,-32,-4,-129
24,1412
0,17289
10D,1
10C,1374
111,19
105,29
10F,18
10B,35
106,-4
107,-5
114,175
20,-28,-6,-125
24,1420
0,17845
10D,3
10C,1262
111,16
105,29
10F,18
10B,30
106,-4
107,-5
114,179
20,-22,5,-123
24,1410
0,18389
10D,4
10C,1121
111,19
105,29
10F,18
10B,43
106,-4
107,-5
114,134
20,-23,8,-128
24,1434
0,18939
10D,7
10C,1110
111,18
105,29
10F,18
10B,45
106,-3
107,-5
114,6
20,-25,0,-123
24,1426
0,19489
10D,8
10C,1252
111,16
105,29
10F,18
10B,32
106,-4
107,-5
114,179
20,-23,-10,-120
24,1431
0,20039
10D,9
10C,1272
111,15
105,29
10F,18
10B,24
106,-4
107,-5
114,173
20,-27,-2,-126
24,1428
0,20589
10D,9
10C,1345
111,15
105,30
10F,18
10B,23
106,-4
107,-5
114,162
20,-31,-2,-124
24,1432
0,21139
10D,10
10C,1417
111,15
105,30
10F,18
10B,21
106,-5
107,-5
114,158
20,-34,-4,-130
24,1430
0,21689
10D,10
10C,1488
111,15
105,30
10F,18
10B,21
106,-7
107,-5
114,156
20,-31,-1,-126
24,1431
0,22239
10D,11
10C,1504
111,15
105,30
10F,18
10B,20
106,-8
107,-5
114,152
20,-20,-3,-123
24,1414
0,22789
10D,11
10C,1534
111,15
105,30
10F,18
10B,20
106,-9
107,-5
114,122
20,-26,-9,-126
24,1430
0,23339
10D,11
10C,1539
111,15
105,30
10F,18
10B,20
106,-10
107,-5
114,12
20,-31,-7,-126
24,1434
0,23889
10D,11
10C,1550
111,16
105,30
10F,18
10B,21
106,-10
107,-5
114,10
20,-26,-1,-116
24,1431
0,24439
10D,11
10C,1566
111,15
105,30
10F,18
10B,22
106,-10
107,-5
114,11
20,-33,5,-132
24,1432
0,24989
10D,11
10C,1589
111,16
105,30
10F,18
10B,23
106,-10
107,-5
114,10
20,-33,2,-122
24,1429
0,25539
10D,12
10C,1688
111,16
105,30
10F,18
10B,23
106,-8
107,-5
114,12
20,-36,-5,-117
24,1433
0,26089
10D,13
10C,1759
111,15
105,30
10F,18
10B,19
106,-7
107,-5
114,148
20,-27,-8,-128
24,1431
0,26645
10D,13
10C,1808
111,16
105,30
10F,18
10B,19
106,-5
107,-5
114,11
