0,5038
10D,10
10C,1585
111,19
105,36
10F,32
10B,42
106,-3
107,-4
114,35
20,19,-43,-146
24,1426
0,5586
10D,11
10C,1669
111,19
105,37
10F,32
10B,43
106,-3
107,-4
114,37
20,17,-43,-155
24,1420
0,6146
10D,12
10C,1805
111,19
105,37
10F,32
10B,40
106,-1
107,-4
114,187
20,8,-42,-155
24,1412
0,6696
10D,14
10C,1953
111,19
105,37
10F,32
10B,38
106,-2
107,-4
114,93
20,2,-52,-162
24,1418
0,7246
10D,14
10C,1936
111,14
105,37
10F,32
10B,22
106,-3
107,-4
114,191
20,-2,-49,-150
24,1417
0,7796
10D,15
10C,1695
111,14
105,37
10F,31
10B,22
106,0
107,-4
114,75
20,-5,-65,-141
24,1421
0,8346
10D,14
10C,1414
111,15
105,37
10F,31
10B,22
106,0
107,-4
114,55
20,2,-64,-147
24,1418
0,8902
10D,11
10C,1270
111,15
105,38
10F,32
10B,23
106,0
107,-4
114,125
20,0,-63,-150
24,1422
0,9446
10D,11
10C,1170
111,15
105,38
10F,32
10B,25
106,0
107,-4
114,25
20,4,-55,-140
24,1417
0,9996
10D,8
10C,1116
111,15
105,38
10F,32
10B,26
106,0
107,-4
114,22
20,3,-53,-139
24,1419
0,10546
10D,6
10C,1039
111,14
105,38
10F,32
10B,26
106,0
107,-4
114,25
20,2,-54,-143
24,1414
0,11096
10D,5
10C,1019
111,14
105,38
10F,32
10B,26
106,0
107,-4
114,151
20,1,-55,-145
24,1416
0,11646
10D,4
10C,1004
111,14
105,38
10F,32
10B,26
106,0
107,-4
114,160
20,1,-50,-148
24,1430
0,12196
10D,3
10C,1007
111,14
105,39
10F,32
10B,26
106,0
107,-4
114,150
20,0,-50,-146
24,1426
0,12746
10D,2
10C,964
111,14
105,39
10F,32
10B,27
106,0
107,-4
114,148
20,1,-57,-142
24,1412
0,13296
10D,2
10C,931
111,18
105,39
10F,32
10B,46
106,0
107,-4
114,7
20,1,-49,-151
24,1409
0,13846
10D,1
10C,996
111,16
105,39
10F,32
10B,38
106,0
107,-4
114,10
20,2,-47,-149
24,1413
0,14396
10D,0
10C,1019
111,16
105,39
10F,32
10B,35
106,0
107,-4
114,10
20,2,-49,-148
24,1421
0,14951
10D,0
10C,984
111,16
105,39
10F,32
10B,34
106,1
107,-4
114,11
20,1,-47,-152
24,1414
0,15496
10D,0
10C,1008
111,15
105,39
10F,32
10B,33
106,3
107,-4
114,13
20,0,-43,-152
24,1415
0,16046
10D,0
10C,875
111,17
105,39
10F,32
10B,45
106,3
107,-4
114,13
20,5,-51,-149
24,1432
0,16596
10D,0
10C,674
111,26
105,39
10F,32
10B,59
106,7
107,-4
114,14
20,-1,-39,-154
24,1431
0,17146
10D,0
10C,1006
111,15
105,39
10F,32
10B,39
106,7
107,-4
114,175
20,1,-47,-150
24,1417
0,17696
10D,1
10C,1021
111,16
105,39
10F,32
10B,35
106,7
107,-4
114,170
20,1,-44,-149
24,1416
0,18246
10D,1
10C,1019
111,15
105,39
10F,32
10B,32
106,7
107,-4
114,167
20,4,-57,-144
24,1421
0,18796
10D,1
10C,1008
111,14
105,39
10F,31
10B,28
106,7
107,-4
114,172
20,2,-53,-145
24,1416
0,19346
10D,1
10C,1006
111,14
105,39
10F,31
10B,26
106,5
107,-4
114,174
20,0,-53,-147
24,1424
0,19896
10D,0
10C,990
111,14
105,40
10F,31
10B,24
106,4
107,-4
114,174
20,0,-50,-148
24,1419
0,20446
10D,0
10C,976
111,13
105,40
10F,31
10B,24
106,3
107,-4
114,173
20,0,-57,-145
24,1416
0,21001
10D,1
10C,955
111,14
105,40
10F,31
10B,24
